ID,Full Text
1,#HappyBirthdayTaylorSwift i miss you terribly i hope todays cake is SO TASTY AND DELICIOUS AND FULL OF LOVE!! HAPPY BIRTHTAY!! 🎂💗🫶🏻🐈‍⬛ @taylornation13 @taylorswift13 https://t.co/OofBSN6ZRL
2,This was served in a burial... .Ekiti Igbo Greenwood Room 404 Watermelon Cobham De Zerbi Isak #GizaVideo Mr Bayo fubara wike INEOS Betting Free Tory Buhari Man City The Bidens Ali G Newcastle Mpabbe Psg #iphone Bakhmut #HappyBirthdayTaylorSwift https://t.co/DvhtgYRIC5
3,One must be fond of people and trust them if one is not to make a mess of life. #PMSLive #HappyBirthdayTaylorSwift
4,"I started this journey in 2011, and I never imagined all the good things I would live thanks to Taylor. Looking for her CDs in stores, getting dressed and painting ""13s"" at school. Ily Taylor, have a year filled with lots of love and peace, happy 34th. #HappyBirthdayTaylorSwift https://t.co/JGpdbfwVTs"
5,Buy Google Ads Account #Draymond #HappyBirthdayTaylorSwift #Tory #TSTheErasTourAtHome #GoodWednesday #HumpDay #Virginia #WednesdayMotivation #Margot #Kelsey #HappyHump #Wizards #NationalAnthem #Happy34th #AndreBraugher https://t.co/tng96MB7xp
6,selling taylor swift tickets to the eras tour in miami at hard rock on 19-10-2024 !! just asking for the price i paid and i will send all proofs asked #TaylorSwift #TaylorSwiftErasTour #HappyBirthdayTaylorSwift #TaylorSwiftTheErasTour #TheErasTour #fcklive https://t.co/ENgw3DtQSD
7,Be the chief but never the lord. #HappyBirthdayTaylorSwift #JJKSpoilers
8,"happy birthday to the women who brought joy in my life, i am so glad your in my life and i love you so much, see you in warsaw N2!!🩷🩷 #HappyBirthdayTaylorSwift @taylornation13 🪩 https://t.co/BcPUhIkEU5"
9,#HappyBirthdayTaylorSwift https://t.co/mbZKMcRvtH
10,#HappyBirthdayTaylorSwift To the Lover! https://t.co/TyGRmQLAd9
11,my girlll happy birthday #HappyBirthdayTaylorSwift https://t.co/9glBR7gjQG
12,@taylorswift13 i couldn’t have asked for a better person to grow up with or better music to relate to. thank you for being you🥹 happy 34th pookie🫶🏾🫶🏾🫶🏾💕 #HappyBirthdayTaylorSwift @taylornation13 https://t.co/eWuDQBau3M
13,"From listening parties, concerts, just singing in my car @taylorswift13 has always been there, couldn’t be more thankful to be in a world with such a bright light. Being 7, listening to Love Story on my iPod shuffle, how far we’ve come #HappyBirthdayTaylorSwift @taylornation13 https://t.co/s5Kxb3PtBD"
14,"To the artist who gave me the opportunity to grow up with you, who gave me a song for every experience I went through, and who absolutely amazes me each and every day: #HappyBirthdayTaylorSwift Thank you for being you! 🫶🏼 @taylorswift13 @taylornation13 https://t.co/eecXtqwBeT"
15,Regina wishes you a very Happy Birthday @taylorswift13 #HappyBirthdayTaylorSwift #TaylorNation https://t.co/TDyTX53KZo
16,"I’m only me when I’m with you, it’s true 🥺 @taylorswift13 @taylornation13 #HappyBirthdayTaylorSwift another year of Taylor 🥂 love you like a sister, support you always, and will have your back no matter what 🫶 (being a Swiftie is my favorite thing in the world, I love you!) https://t.co/3HmGSmx5jx"
17,💘 #HappyBirthdayTaylorSwift https://t.co/Mgw95CMYcU
18,"click https://t.co/oiuR201NTP Sign up and make your first deposit with any of their crypto payment methods at DuckyLuck to claim an exclusive 600% bonus up to $3,000. #Wales #DealOrNoDeal #HappyBirthdayTaylorSwift #MMA365 #KungFuPanda4 #PMQs #Dortmund #DeliveringThePlan https://t.co/1KrL45x5iC"
19,May God heal those that I hurt and also forgive me 🥹💔 #HappyBirthdayTaylorSwift https://t.co/GzCzh5f5Wu
20,#UnitedKingdom #UnitedStates #HumanRightsViolations #SecurityBreach #Security #Bitcoin #NYC #Canada #HappyBirthdayTaylorSwift #JustinBieber #JustinTrudeau #journalism #Israel #Palestine #GazaHolocaust #GazaGenocide #WestBank #ICC #CourtTV #TV9News #skynews https://t.co/XCfrWc98C0
21,happy birthday Taylor 🤍 @taylornation13 @taylorswift13 #HappyBirthdayTaylorSwift https://t.co/Xj2nhvffCo
22,"Happy Birthday Taylor! 🎉 I’m so grateful for everything you’ve given us this year and all the memories and friends I’ve made through being a swiftie. 🥺 I love you to moon and to Saturn! 🪐❤️ And as you said, I’ll stand by you forever🫶 #HappyBirthdayTaylorSwift @taylornation13 https://t.co/pm0ItNsQFm"
